Event,Travel,Food,Activity,Transportation,People,Utility
,,,,,😖,
,,,,,😣,
,,,,,😞,
,,,,,😓,
,,,,,😩,
,,,,,😫,
,,,,,😤,
,,,,,😡,
,,,,,😠,
,,,,,🤬,
,,,,,😈,
,,,,,👿,
,,,,,💀,
,,,,,☠,
,,,,,💩,
,,,,,🤡,
,,,,,👹,
,,,,,👺,
,,,,,👻,
,,,,,👽,
,,,,,🤖,
,,,,,😺,
,,,,,😸,
,,,,,😹,
,,,,,😻-,
,,,,,😼,
,,,,,😽,
,,,,,🙀,
,,,,,😿,
,,,,,😾,
,,,,,💋,
,,,,,👋,
,,,,,🤚,
,,,,,🖐,
,,,,,✋,
,,,,,🖖,
,,,,,👌,
,,,,,✌,
,,,,,🤞,
,,,,,🤟-,
,,,,,🤘,
,,,,,🤙,
,,,,,👈,
,,,,,👉,
,,,,,👆,
,,,,,🖕,
,,,,,👇,
,,,,,☝,
,,,,,👍,
,,,,,👎,
,,,,,✊,
,,,,,👊,
,,,,,🤛-,
,,,,,🤜-,
,,,,,👏,
,,,,,🙌,
,,,,,👐,
,,,,,🤲,
,,,,,🤝,
,,,,,🙏,
,,,,,✍,
,,,,,💅,
,,,,,🤳,
,,,,,🦵,
,,,,,🦶,
,,,,,👂,
,,,,,👃,
,,,,,🧠,
,,,,,🦷,
,,,,,🦴,
,,,,,👀,
,,,,,👁,
,,,,,👅,
,,,,,👄,
,,,,,👶,
,,,,,🧒,
,,,,,👦,
,,,,,👧,
,,,,,🧑,
,,,,,👱:,
,,,,,🧔:,
,,,,,👱‍♂️:,
,,,,,👨‍🦰:,
,,,,,👨‍🦱:,
,,,,,👨‍🦳:,
,,,,,👨‍🦲:,
,,,,,👱‍♀️:,
,,,,,👩‍🦰:,
,,,,,👩‍🦱:,
,,,,,👩‍🦳:,
,,,,,👩‍🦲:,
,,,,,🧓,
,,,,,👴,
,,,,,👵,
,,,,,🙍,
,,,,,🙍‍♂️,
,,,,,🙍‍♀️,
,,,,,🙎,
,,,,,🙎‍♂️,
,,,,,🙎‍♀️,
,,,,,🙅,
,,,,,🙅‍♂️,
,,,,,🙅‍♀️,
,,,,,🙆,
,,,,,🙆‍♂️,
,,,,,🙆‍♀️,
,,,,,💁,
,,,,,💁‍♂️,
,,,,,💁‍♀️,
,,,,,🙋,
,,,,,🙋‍♂️,
,,,,,🙋‍♀️,
,,,,,🙇,
,,,,,🙇‍♂️,
,,,,,🙇‍♀️,
,,,,,🤦,
,,,,,🤦‍♂️,
,,,,,🤦‍♀️,
,,,,,🤷,
,,,,,🤷‍♂️,
,,,,,🤷‍♀️,
,,,,,👨‍⚕️,
,,,,,👩‍⚕️,
,,,,,👨‍🎓,
,,,,,👩‍🎓,
,,,,,👨‍🏫,
,,,,,👩‍🏫,
,,,,,👨‍⚖️,
,,,,,👩‍⚖️,
,,,,,👨‍🌾,
,,,,,👩‍🌾,
,,,,,👨‍🍳,
,,,,,👩‍🍳,
,,,,,👨‍🔧,
,,,,,👩‍🔧,
,,,,,👨‍🏭,
,,,,,👩‍🏭,
,,,,,👨‍💼,
,,,,,👩‍💼,
,,,,,👨‍🔬,
,,,,,👩‍🔬,
,,,,,👨‍💻,
,,,,,👩‍💻,
,,,,,👨‍🎤,
,,,,,👩‍🎤,
,,,,,👨‍🎨,
,,,,,👩‍🎨,
,,,,,👨‍✈️,
,,,,,👩‍✈️,
,,,,,👨‍🚀,
,,,,,👩‍🚀,
,,,,,👨‍🚒,
,,,,,👩‍🚒,
,,,,,👮,
,,,,,👮‍♂️,
,,,,,👮‍♀️,
,,,,,🕵,
,,,,,🕵️‍♂️,
,,,,,🕵️‍♀️,
,,,,,💂,
,,,,,💂‍♂️,
,,,,,💂‍♀️,
,,,,,👷,
,,,,,👷‍♂️,
,,,,,👷‍♀️,
,,,,,🤴,
,,,,,👸,
,,,,,👳,
,,,,,👳‍♂️,
,,,,,👳‍♀️,
,,,,,👲,
,,,,,🧕,
,,,,,🤵,
,,,,,🤰,
,,,,,🤱-,
,,,,,👼,
,,,,,🤶.,
,,,,,🦸,
,,,,,🦸‍♂️,
,,,,,🦸‍♀️,
,,,,,🦹,
,,,,,🦹‍♂️,
,,,,,🦹‍♀️,
,,,,,🧙,
,,,,,🧙‍♂️,
,,,,,🧙‍♀️,
,,,,,🧚,
,,,,,🧚‍♂️,
,,,,,🧚‍♀️,
,,,,,🧛,
,,,,,🧛‍♂️,
,,,,,🧛‍♀️,
,,,,,🧜,
,,,,,🧜‍♂️,
,,,,,🧜‍♀️,
,,,,,🧝,
,,,,,🧝‍♂️,
,,,,,🧝‍♀️,
,,,,,🧞,
,,,,,🧞‍♂️,
,,,,,🧞‍♀️,
,,,,,🧟,
,,,,,🧟‍♂️,
,,,,,🧟‍♀️,
,,,,,💆,
,,,,,💆‍♂️,
,,,,,💆‍♀️,
,,,,,💇,
,,,,,💇‍♂️,
,,,,,💇‍♀️,
,,,,,🚶,
,,,,,🚶‍♂️,
,,,,,🚶‍♀️,
,,,,,🏃,
,,,,,🏃‍♂️,
,,,,,🏃‍♀️,
,,,,,💃,
,,,,,🕺,
,,,,,👯,
,,,,,👯‍♂️,
,,,,,👯‍♀️,
,,,,,🧖,
,,,,,🧖‍♂️,
,,,,,🧖‍♀️,
,,,,,🧘,
,,,,,👭,
,,,,,👫,
,,,,,👬,
,,,,,💏,
,,,,,👨‍❤️‍💋‍👨:,
,,,,,👩‍❤️‍💋‍👩:,
,,,,,💑,
,,,,,👨‍❤️‍👨:,
,,,,,👩‍❤️‍👩:,
,,,,,👪,
,,,,,👨‍👩‍👦:,
,,,,,👨‍👩‍👧:,
,,,,,👨‍👩‍👧‍👦:,
,,,,,👨‍👩‍👦‍👦:,
,,,,,👨‍👩‍👧‍👧:,
,,,,,👨‍👨‍👦:,
,,,,,👨‍👨‍👧:,
,,,,,👨‍👨‍👧‍👦:,
,,,,,👨‍👨‍👦‍👦:,
,,,,,👨‍👨‍👧‍👧:,
,,,,,👩‍👩‍👦:,
,,,,,👩‍👩‍👧:,
,,,,,👩‍👩‍👧‍👦:,
,,,,,👩‍👩‍👦‍👦:,
,,,,,👩‍👩‍👧‍👧:,
,,,,,👨‍👦:,
,,,,,👨‍👦‍👦:,
,,,,,👨‍👧:,
,,,,,👨‍👧‍👦:,
,,,,,👨‍👧‍👧:,
,,,,,👩‍👦:,
,,,,,👩‍👦‍👦:,
,,,,,👩‍👧:,
,,,,,👩‍👧‍👦:,
,,,,,👩‍👧‍👧:,
,,,,,🗣,
,,,,,👤,
,,,,,👥,
,,,,,👣,
,,,,,🧳,
,,,,,🌂,
,,,,,☂,
,,,,,🧵,
,,,,,🧶,
,,,,,👓,
,,,,,🕶,
,,,,,🥽,
,,,,,🥼,
,,,,,👔,
,,,,,👕-,
,,,,,👖,
,,,,,🧣,
,,,,,🧤,
,,,,,🧥,
,,,,,🧦,
,,,,,👗,
,,,,,👘,
,,,,,👙,
,,,,,👚’,
,,,,,👛,
,,,,,👜,
,,,,,👝,
,,,,,🎒,
,,,,,👞’,
,,,,,👟,
,,,,,🥾,
,,,,,🥿,
,,,,,👠-,
,,,,,👡’,
,,,,,👢’,
,,,,,👒’,
,,,,,🎩,
,,,,,🧢,
,,,,,⛑’,
,,,,,💄,
,,,,,💍,
,,,,,💼,
,,,,,💕,
,,,,,🌚,
,,,,,💜,
,,,,,💛,
